"title","rating","travelDate","publishedDate","text","url","user/avatar","user/avatar/height","user/avatar/id","user/avatar/image","user/avatar/width","user/contributions/helpfulVotes","user/contributions/totalContributions","user/link","user/name","user/userId","user/userLocation","user/userLocation/id","user/userLocation/name","user/userLocation/shortName","user/username","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website"
"Pathetic Experience!","1","2025-04","2025-04-21","Pathetic Experience!

Stains on wall, used and torn towel in bathroom, condition of towel was as if it is used for cleaning purpose, shabby bucket and mug, no toiletries or dental kit provided, no slippers, switch boards not working, unstitched and torn quilt cover,
Staff not behaved properly!
Anything asked to provide to person sitting at reception, his reply always came “you should have told us” , even for simple dental kits and slippers!!

Why you have kept bed also….that should have also been provided when asked by guests!!!

Free breakfast which was offered was plain parantha, curd (bad quality), pohe (bad taste) and achaar
If asked for chatni, their reply was ""eat with aachaar only""

Come’on man…there is basic etiquette of replying to guests which is badly lacking  at your place!!!!","https://www.tripadvisor.com/ShowUserReviews-g304552-d1144763-r1003727041-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html",,"1200","452387495","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg","1200","0","1","www.tripadvisor.com/Profile/chittranjans2018","Chittranjan B","5060378C68ED07F8F5A563E19C67BF13",,,,,"chittranjans2018",,"Owner","1004069872","en","2025-04-24","Treebo Hotels","Dear Chittranjan, Thank you for your review. Please accept our sincere apologies for the inconvenience caused to you during your stay with us. This is not the kind of experience we want to provide to our guests. We have noted the issues highlighted by you and have forwarded this to our team to take appropriate action. We are learning every day and your feedback goes a long way in helping us in our mission to provide a delightful experience to all of our guests. I hope you will give us further opportunities to serve you better. Best Wishes, Treebo Hospitality Ventures
","Near Stop Opposite Talland Milsington Estate Chotta Shimla, Shimla 171001 India","Shimla","India","171001",,"Near Stop Opposite Talland Milsington Estate"," Chotta Shimla","1144763","31.09284","Shimla, Shimla District, Himachal Pradesh","77.17413","Treebo The Alpine Heritage Residency","129","4","15","5","18","15","76","https://www.tripadvisor.com/Hotel_Review-g304552-d1144763-Reviews-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html","https://www.treebo.com/hotels-in-shimla/treebo-trend-hotel-the-alpine-heritage-residency-cart-rd-3474/?utm_source=Partnerships&utm_medium=gplus&utm_campaign=hotelthealpineheritageresidency"
"Great experience","5","2025-01","2025-02-08","Excellent cozy place, located conveniently. It took just 10 rupees to reach the mall road via bus in sheer 5 mins. You are close to the city yet away from the hustle to enjoy the mountains around. Wonderful staff specially the lady who takes care of the restaurant. Overall the entire staff makes you feel at home. So helping and guiding people. Clean and antique place. Soak some sun as you have your breakfast.","https://www.tripadvisor.com/ShowUserReviews-g304552-d1144763-r992611050-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html",,"1200","452390771","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg","1200","0","2","www.tripadvisor.com/Profile/Adventure67298125226","Adventure67298125226","EF8C515E7D4503EF1BFE4EBE8CC76186",,,,,"Adventure67298125226",,"Owner","996000225","en","2025-02-27","Treebo Hotels","Dear Guest, Thank you for taking the time to write this review. We are extremely humbled and grateful that you enjoyed your stay with us. Your appreciation is highly encouraging and will go a long way in motivating us to achieve even greater levels of guest delight. We are glad that you found the location convenient. We look forward to welcoming you again. Best Wishes, Treebo Hotels
","Near Stop Opposite Talland Milsington Estate Chotta Shimla, Shimla 171001 India","Shimla","India","171001",,"Near Stop Opposite Talland Milsington Estate"," Chotta Shimla","1144763","31.09284","Shimla, Shimla District, Himachal Pradesh","77.17413","Treebo The Alpine Heritage Residency","129","4","15","5","18","15","76","https://www.tripadvisor.com/Hotel_Review-g304552-d1144763-Reviews-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html","https://www.treebo.com/hotels-in-shimla/treebo-trend-hotel-the-alpine-heritage-residency-cart-rd-3474/?utm_source=Partnerships&utm_medium=gplus&utm_campaign=hotelthealpineheritageresidency"
"Nice Experience","4","2024-06","2024-06-29","I stayed at Treebo The Alpine Heritage Residency for 3 days and I had a good time.
Room: Spacious, comfortable and with a good view out of the window and from the balcony.
Food: Good. Ms. Kiran's team serves good food.
Ambiance: Calm and safe. Maintenance of the room is satisfactory, but could be better. ","https://www.tripadvisor.com/ShowUserReviews-g304552-d1144763-r957309730-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html",,"1200","452390619","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg","1200","0","1","www.tripadvisor.com/Profile/touristT1906BW","touristT1906BW","A007272C18DD9F693C5BF14EC9FD6FD8",,"304551","New Delhi, India","New Delhi","touristT1906BW",,"Owner","959813849","en","2024-07-16","Treebo Hotels","Dear Guest, Thank you for choosing to stay with us and for taking the time to share your feedback. It was an absolute pleasure hosting you and we are glad that you had a great experience. We look forward to hosting you again. Best Wishes, Treebo Hotels","Near Stop Opposite Talland Milsington Estate Chotta Shimla, Shimla 171001 India","Shimla","India","171001",,"Near Stop Opposite Talland Milsington Estate"," Chotta Shimla","1144763","31.09284","Shimla, Shimla District, Himachal Pradesh","77.17413","Treebo The Alpine Heritage Residency","129","4","15","5","18","15","76","https://www.tripadvisor.com/Hotel_Review-g304552-d1144763-Reviews-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html","https://www.treebo.com/hotels-in-shimla/treebo-trend-hotel-the-alpine-heritage-residency-cart-rd-3474/?utm_source=Partnerships&utm_medium=gplus&utm_campaign=hotelthealpineheritageresidency"
"Unpleasent experiance","2","2024-05","2024-05-31","I visited along with my family. But surprised to see that such a reputed brand is offering such Pathetic services... There was no water in rooms and they room and returant services were really bad. Moreover the treebo support staff was unable to offer a solution. Not a great stay.","https://www.tripadvisor.com/ShowUserReviews-g304552-d1144763-r953227129-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html",,"1200","452387690","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg","1200","0","3","www.tripadvisor.com/Profile/tjkp283","Kapil T","D6579EA488E481CF1B38BD73688E78D7",,"304551","New Delhi, India","New Delhi","tjkp283",,"Owner","954882204","en","2024-06-12","Treebo Hotels","Dear Guest, Thank you for choosing to stay with us and sharing your feedback. Please accept our sincere apologies for the inconvenience you had during your stay with us. We have noted the issues highlighted by you and have conveyed this to our team to take appropriate action. I am disappointed that we fell short this time but I hope you will give us further opportunities to serve you better. Best Regards, Treebo Hotels
","Near Stop Opposite Talland Milsington Estate Chotta Shimla, Shimla 171001 India","Shimla","India","171001",,"Near Stop Opposite Talland Milsington Estate"," Chotta Shimla","1144763","31.09284","Shimla, Shimla District, Himachal Pradesh","77.17413","Treebo The Alpine Heritage Residency","129","4","15","5","18","15","76","https://www.tripadvisor.com/Hotel_Review-g304552-d1144763-Reviews-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html","https://www.treebo.com/hotels-in-shimla/treebo-trend-hotel-the-alpine-heritage-residency-cart-rd-3474/?utm_source=Partnerships&utm_medium=gplus&utm_campaign=hotelthealpineheritageresidency"
"Excellent Stay in Shimla!!","5","2024-05","2024-05-08","I wanted to express my sincere gratitude for the wonderful stay experience at The Alpine Heritage Residency. The cleanliness, hygiene, and stunning views from our room were exceptional. The location was perfect, and the staff was cooperative and attentive. The room service was prompt, and the breakfast was delicious. Overall, highly recommended!","https://www.tripadvisor.com/ShowUserReviews-g304552-d1144763-r949990218-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html",,"1200","452388139","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg","1200","0","1","www.tripadvisor.com/Profile/Aastha874","Aastha874","794260BE261F52EF2370EC01770F1819",,,,,"Aastha874",,"Owner","950115635","en","2024-05-09","Treebo Hotels","Dear Aastha, Thank you for choosing to stay with us and for sharing your feedback. We are glad that you enjoyed your stay with us and found the location convenient. At Treebo, it is our top priority to provide a delightful experience to our guests. Your kind words will definitely encourage and motivate us as we strive towards doing so. We really enjoyed hosting you. Thank you for recommending us. We look forward to having you back soon. Best Wishes, Treebo Hotels
","Near Stop Opposite Talland Milsington Estate Chotta Shimla, Shimla 171001 India","Shimla","India","171001",,"Near Stop Opposite Talland Milsington Estate"," Chotta Shimla","1144763","31.09284","Shimla, Shimla District, Himachal Pradesh","77.17413","Treebo The Alpine Heritage Residency","129","4","15","5","18","15","76","https://www.tripadvisor.com/Hotel_Review-g304552-d1144763-Reviews-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html","https://www.treebo.com/hotels-in-shimla/treebo-trend-hotel-the-alpine-heritage-residency-cart-rd-3474/?utm_source=Partnerships&utm_medium=gplus&utm_campaign=hotelthealpineheritageresidency"
"Highly Recommend!!","5","2023-12","2023-12-14","I'm glad to hear you had a positive experience at Treebo Trend Alpine Residency in Shimla. The hotel's warm hospitality and comfortable amenities made my stay truly enjoyable. The staff was friendly and attentive, ensuring a pleasant atmosphere throughout. The rooms were well-maintained and offered a cozy retreat after exploring Shimla. I appreciate the attention to cleanliness and the overall value for money. I highly recommend Treebo Trend Alpine Residency for a delightful stay in Shimla.","https://www.tripadvisor.com/ShowUserReviews-g304552-d1144763-r929476639-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html",,,,,,"0","4","www.tripadvisor.com/Profile/Coastal36989139248","Coastal36989139248","33FF221AFED3842022F9EAC2387D7B65",,,,,"Coastal36989139248",,"Owner","935008709","en","2024-01-22","Treebo Hotels","Dear Guest, Thank you for taking the time to write this review. We are extremely humbled and grateful that you enjoyed our services. Thank you for appreciating various aspects of your stay that you enjoyed. Guests such as yourself are the true inspiration behind our philosophy towards hospitality. Our effort remains to continuously engage in guest satisfaction and service excellence. Thank you for recommending us. I have shared your feedback with the entire team and they are humbled by your praise and recognition. Please give us a heads-up the next time you're in town. We will be thrilled to host you again. Best Wishes, Treebo Hotels
","Near Stop Opposite Talland Milsington Estate Chotta Shimla, Shimla 171001 India","Shimla","India","171001",,"Near Stop Opposite Talland Milsington Estate"," Chotta Shimla","1144763","31.09284","Shimla, Shimla District, Himachal Pradesh","77.17413","Treebo The Alpine Heritage Residency","129","4","15","5","18","15","76","https://www.tripadvisor.com/Hotel_Review-g304552-d1144763-Reviews-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html","https://www.treebo.com/hotels-in-shimla/treebo-trend-hotel-the-alpine-heritage-residency-cart-rd-3474/?utm_source=Partnerships&utm_medium=gplus&utm_campaign=hotelthealpineheritageresidency"
"Excellent service. Blissful view, peace and greenery.","5","2023-07","2023-07-03","Excellent service peaceful environment. Cordial staff. Easily accessible. Breakfast was good. Natural greenery. The mapple room has a very good view of the valley. The hotel is also good for students and family. ","https://www.tripadvisor.com/ShowUserReviews-g304552-d1144763-r899920651-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html",,"1200","452391289","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg","1200","0","1","www.tripadvisor.com/Profile/Culture17871529494","Culture17871529494","9C54ABFBFC6FA6256B5757C7C1FA68AA",,,,,"Culture17871529494",,,,,,,,"Near Stop Opposite Talland Milsington Estate Chotta Shimla, Shimla 171001 India","Shimla","India","171001",,"Near Stop Opposite Talland Milsington Estate"," Chotta Shimla","1144763","31.09284","Shimla, Shimla District, Himachal Pradesh","77.17413","Treebo The Alpine Heritage Residency","129","4","15","5","18","15","76","https://www.tripadvisor.com/Hotel_Review-g304552-d1144763-Reviews-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html","https://www.treebo.com/hotels-in-shimla/treebo-trend-hotel-the-alpine-heritage-residency-cart-rd-3474/?utm_source=Partnerships&utm_medium=gplus&utm_campaign=hotelthealpineheritageresidency"
"Heads up for the view and staff!","5","2023-06","2023-06-25","The Stay was very good, I enjoyed every bit of the travel i had in shimla trip, the hotel staff gave us an amazing experience. i initially got a side room as i reached early, but they helped me with a valley view immediately. Nice view and food.
","https://www.tripadvisor.com/ShowUserReviews-g304552-d1144763-r897892850-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html",,"1200","452389949","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg","1200","0","2","www.tripadvisor.com/Profile/Culture19821277106","Culture19821277106","CFAC05BDD4E9168987673A3414ACB41F",,,,,"Culture19821277106",,,,,,,,"Near Stop Opposite Talland Milsington Estate Chotta Shimla, Shimla 171001 India","Shimla","India","171001",,"Near Stop Opposite Talland Milsington Estate"," Chotta Shimla","1144763","31.09284","Shimla, Shimla District, Himachal Pradesh","77.17413","Treebo The Alpine Heritage Residency","129","4","15","5","18","15","76","https://www.tripadvisor.com/Hotel_Review-g304552-d1144763-Reviews-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html","https://www.treebo.com/hotels-in-shimla/treebo-trend-hotel-the-alpine-heritage-residency-cart-rd-3474/?utm_source=Partnerships&utm_medium=gplus&utm_campaign=hotelthealpineheritageresidency"
"View is MSP for this property!","5","2023-06","2023-06-25","Amazing experience with good staff and view, the hotel is near mall road and they have good view rooms, side rooms are oaky okay, but management is cooperative and immediately shifted my room to a valley facing room. Will visit again.","https://www.tripadvisor.com/ShowUserReviews-g304552-d1144763-r897890807-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html",,"1200","452387615","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg","1200","0","5","www.tripadvisor.com/Profile/Seaside804276","edd in.k","424B6723637CE7F7F979D06BAFDC8FD0",,,,,"Seaside804276",,,,,,,,"Near Stop Opposite Talland Milsington Estate Chotta Shimla, Shimla 171001 India","Shimla","India","171001",,"Near Stop Opposite Talland Milsington Estate"," Chotta Shimla","1144763","31.09284","Shimla, Shimla District, Himachal Pradesh","77.17413","Treebo The Alpine Heritage Residency","129","4","15","5","18","15","76","https://www.tripadvisor.com/Hotel_Review-g304552-d1144763-Reviews-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html","https://www.treebo.com/hotels-in-shimla/treebo-trend-hotel-the-alpine-heritage-residency-cart-rd-3474/?utm_source=Partnerships&utm_medium=gplus&utm_campaign=hotelthealpineheritageresidency"
"Great stay happy with service ","5","2023-06","2023-06-25","Great experience,  I booked the room through makemytrip, nice valley view rooms and stafg is very caring and well behaved,  Mr Aditya and nikhil the management is very helping.  Parking space is there with good cctv coverage. 
Rooms Nd Lenin is good","https://www.tripadvisor.com/ShowUserReviews-g304552-d1144763-r897744259-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html",,"1200","452387558","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg","1200","3","2","www.tripadvisor.com/Profile/Pawan6363","Pawan","33FCC329F285A230EC116CBEAE145D29",,,,,"Pawan6363",,,,,,,,"Near Stop Opposite Talland Milsington Estate Chotta Shimla, Shimla 171001 India","Shimla","India","171001",,"Near Stop Opposite Talland Milsington Estate"," Chotta Shimla","1144763","31.09284","Shimla, Shimla District, Himachal Pradesh","77.17413","Treebo The Alpine Heritage Residency","129","4","15","5","18","15","76","https://www.tripadvisor.com/Hotel_Review-g304552-d1144763-Reviews-Treebo_The_Alpine_Heritage_Residency-Shimla_Shimla_District_Himachal_Pradesh.html","https://www.treebo.com/hotels-in-shimla/treebo-trend-hotel-the-alpine-heritage-residency-cart-rd-3474/?utm_source=Partnerships&utm_medium=gplus&utm_campaign=hotelthealpineheritageresidency"
