"title","rating","travelDate","publishedDate","text","url","user/avatar","user/avatar/height","user/avatar/id","user/avatar/image","user/avatar/width","user/contributions/helpfulVotes","user/contributions/totalContributions","user/link","user/name","user/userId","user/userLocation","user/userLocation/id","user/userLocation/name","user/userLocation/shortName","user/username","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website"
"Excellent position, if noisy, but Jaipur is a very busy city so don't expect peace and quiet   it is stunning though and so much","3","2025-10","2025-11-02","The hotel itself was fine, but the reception staff were not very friendly, the bar was hidden in the basement. Bin general not welcoming","https://www.tripadvisor.com/ShowUserReviews-g304555-d646146-r1037403149-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html",,"1200","452390771","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg","1200","0","15","www.tripadvisor.com/Profile/janmT6613HG","Jan M","54DB50B5AC5E4C00EDBD7DEAF2C65CC7",,,,,"janmT6613HG",,,,,,,,"Station Road Near Central Bus Stand, Jaipur 302001 India","Jaipur","India","302001","Rajasthan","Station Road","Near Central Bus Stand","646146","26.923403","Jaipur, Jaipur District, Rajasthan","75.80163","Fort Chandragupt","223","3.3","41","21","52","59","50","https://www.tripadvisor.com/Hotel_Review-g304555-d646146-Reviews-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html","http://fortchandragupt.com/"
"Old building, Decent clean rooms, Tricky staff","4","2025-10","2025-10-13","It may be an old fort converted to a hotel. The building has an interesting architecture and some beautiful decorations. Some parts of the building is abandoned or under construction. Hotel is located in a busy bus station area (Sindhi Camp). Nothing touristic there except busy and dirty streets, tiny shops and many vehicles. 

Because of recent bad reviews, before arriving, our travel Coordinator specifically asked for clean and quiet rooms for our group.  And we got clean and quiet rooms in the 3rd floor.  Rooms were nicely decorated and the bed was comfortable. The bathrooms are old and need replacing. No water flow in the shower.

The front desk staff and managers are non responsive and blank. They can’t provide any helpful information or tips to the guests. The bills and payments in the hotel restaurant need to be checked carefully. Overpricing, cash payment irregularities, tricks and mistakes are tried there.  

It’s a basic hotel, with good rooms. Bathrooms need upgrades.","https://www.tripadvisor.com/ShowUserReviews-g304555-d646146-r1034758977-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html",,"412","37140113","https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/36/b6/91/dr-rohan.jpg","550","169","972","www.tripadvisor.com/Profile/Dr_Rohan","Dr_Rohan","A62C9BED1E60E7D1B0DF13173BB0F977",,"188590","Amsterdam, The Netherlands","Amsterdam","Dr_Rohan",,,,,,,,"Station Road Near Central Bus Stand, Jaipur 302001 India","Jaipur","India","302001","Rajasthan","Station Road","Near Central Bus Stand","646146","26.923403","Jaipur, Jaipur District, Rajasthan","75.80163","Fort Chandragupt","223","3.3","41","21","52","59","50","https://www.tripadvisor.com/Hotel_Review-g304555-d646146-Reviews-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html","http://fortchandragupt.com/"
"Disaster Stay: Small Rooms, deceptive photos, poor staff","1","2025-09","2025-09-03","I am staying here today and confirm that this hotel is a complete scam. They have put pictures showing bigger area, sofa and what not but in actual the room is even devoid of basic facilities.  The room are dingy, no window to outdoor world (only to inner corridor).","https://www.tripadvisor.com/ShowUserReviews-g304555-d646146-r1028708876-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html",,"1200","452388955","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","1200","0","1","www.tripadvisor.com/Profile/W198VPsagarg","Sagar G","0B66792034EAF2AB190753D5C03F1E98",,,,,"W198VPsagarg",,,,,,,,"Station Road Near Central Bus Stand, Jaipur 302001 India","Jaipur","India","302001","Rajasthan","Station Road","Near Central Bus Stand","646146","26.923403","Jaipur, Jaipur District, Rajasthan","75.80163","Fort Chandragupt","223","3.3","41","21","52","59","50","https://www.tripadvisor.com/Hotel_Review-g304555-d646146-Reviews-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html","http://fortchandragupt.com/"
"This hotel please avoid.","2","2025-07","2025-07-10","This hotel is a must avoid. Please avoid going to this hotel. You will get many other hotels at a price much lesser than the price for this hotel. 
Let me explain the pros and cons of this property.

Pros - 
Parking Area is good and safe.
Location is good but given the condition you are travelling to Jaipur by bus.

Cons -
Charging more money for amber suite and giving the room with bare minimum lighting.

Then the reception, reaching out at 2 and the room being not ready. 

The staff works without a smile and with a heavy face as if doing for free.

Then comes the amenities - Two restaurants and not sure on which the food is being ordered and from which the restaurant it is coming.

Food is eremely overpriced. Cost of roti being 55₹ . Dude we are in India we got the wheat in house and we are not importing.

Now the third part and most disgusting one - the travel desk this team is there just to fool people and disturb the guest privacy.

Overall Disgusting Experience !!!","https://www.tripadvisor.com/ShowUserReviews-g304555-d646146-r1017473000-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html",,"1200","452390416","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg","1200","0","6","www.tripadvisor.com/Profile/Harneha","Hardik Ranjan","8E9F998D59728F534705FA3B2F8C7636",,,,,"Harneha",,,,,,,,"Station Road Near Central Bus Stand, Jaipur 302001 India","Jaipur","India","302001","Rajasthan","Station Road","Near Central Bus Stand","646146","26.923403","Jaipur, Jaipur District, Rajasthan","75.80163","Fort Chandragupt","223","3.3","41","21","52","59","50","https://www.tripadvisor.com/Hotel_Review-g304555-d646146-Reviews-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html","http://fortchandragupt.com/"
"Business trip","5","2025-06","2025-06-12","The rooms were clean and staff is friendly. It was maintained hygienic. The food was also provided hot and delicious. It was well maintained and they responded immediately when i called for services . 
But the fan isnt working properly so please resolve that issue..","https://www.tripadvisor.com/ShowUserReviews-g304555-d646146-r1012652366-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html",,"1200","452387345","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg","1200","0","1","www.tripadvisor.com/Profile/Stay02817838807","sahiti","76B11AE2014059E8378FD94E9875C194",,"297586","Hyderabad, India","Hyderabad","Stay02817838807",,,,,,,,"Station Road Near Central Bus Stand, Jaipur 302001 India","Jaipur","India","302001","Rajasthan","Station Road","Near Central Bus Stand","646146","26.923403","Jaipur, Jaipur District, Rajasthan","75.80163","Fort Chandragupt","223","3.3","41","21","52","59","50","https://www.tripadvisor.com/Hotel_Review-g304555-d646146-Reviews-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html","http://fortchandragupt.com/"
"Pathetic staff and liar management","1","2025-03","2025-03-17","Unsafe environment because of staff, management!
One of the worst hotel management and service I have ever received they denied my confirmation booking and refund amount and requested for jaipur police for help. Details....
I have been to multiple hotels for stay within India and International however I will surely say this hotel failed to meet 1 star rating as well. I had confirmed booking which I did from their own website directly fortchadragupt.com (not from 3rd party hotel bookings like lMakeMyTrip or Goibibo etc...) and when I reached for checkin they clearly said it's not confirmed and denied the global documentation mail format when I showed them confirmation email from their side which includes their both sales and reservation mail IDs. Even staff and management was showing pathetic behaviour and started fight with us in front of my 9 family members including kids. I requested for jaipur police help to get out of the hotel with my refund amount as they denied to refund the amount as well which I paid during booking on their website.","https://www.tripadvisor.com/ShowUserReviews-g304555-d646146-r998537930-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html",,"1200","452389949","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg","1200","0","5","www.tripadvisor.com/Profile/485nitinj","Nitin J","7630B58EB378BAECB0D2489B2C519F81",,"304551","New Delhi, India","New Delhi","485nitinj",,,,,,,,"Station Road Near Central Bus Stand, Jaipur 302001 India","Jaipur","India","302001","Rajasthan","Station Road","Near Central Bus Stand","646146","26.923403","Jaipur, Jaipur District, Rajasthan","75.80163","Fort Chandragupt","223","3.3","41","21","52","59","50","https://www.tripadvisor.com/Hotel_Review-g304555-d646146-Reviews-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html","http://fortchandragupt.com/"
"Smerig hotel met oplichters! Absoluut niet boeken","1","2025-02","2025-02-28","Wat een slecht hotel. Het is er smerig, stinkt naar schimmel en wanneer je je was laat doen wordt je opgelicht! Ik kreeg een kamer toegewezen die enorm naar schimmel stonk. In de linnenkast lag smerig beddengoed en lege waterflessen. De handdoeken én het bed waren vochtig en overal lag een laag stof of troep van zéker enkele maanden oud. Toen ik de was inleverde stond opgeteld op de bon 412 rupie. Toen een van de jongens deze was kwam terugbezorgen moest ik 880 rupie betalen. Na klacht kreeg ik 399 rupie retour.","https://www.tripadvisor.com/ShowUserReviews-g304555-d646146-r996152164-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html",,"1200","452387345","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg","1200","9","21","www.tripadvisor.com/Profile/flodienst57","Leo H","B61C6D2B5F34FD6117F0A7255F8D7D82",,"635896","Goes, The Netherlands","Goes","flodienst57",,,,,,,,"Station Road Near Central Bus Stand, Jaipur 302001 India","Jaipur","India","302001","Rajasthan","Station Road","Near Central Bus Stand","646146","26.923403","Jaipur, Jaipur District, Rajasthan","75.80163","Fort Chandragupt","223","3.3","41","21","52","59","50","https://www.tripadvisor.com/Hotel_Review-g304555-d646146-Reviews-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html","http://fortchandragupt.com/"
"Beautiful Rajasthani furniture and decor","4","2025-02","2025-02-12","We were worried by some of the negative reviews. Sure, it is a bit faded around the edges, but it is full of charm and character. All the rooms are beautifully furnished and decorated. Restaurant is very average,but this is the kind of hotel I would hope to find in Rajasthan. If you want perfect, clean lines, maybe you should find a modern hotel chain. This is for people who appreciate old world charm.","https://www.tripadvisor.com/ShowUserReviews-g304555-d646146-r993718984-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html",,"305","685991242","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/e3/65/4a/farr-kanell.jpg","305","2","3","www.tripadvisor.com/Profile/Farr-Kanell","Farr-Kanell","954935051E81171553E49B168A47804E",,"1156263","Harmanli, Bulgaria","Harmanli","Farr-Kanell",,,,,,,,"Station Road Near Central Bus Stand, Jaipur 302001 India","Jaipur","India","302001","Rajasthan","Station Road","Near Central Bus Stand","646146","26.923403","Jaipur, Jaipur District, Rajasthan","75.80163","Fort Chandragupt","223","3.3","41","21","52","59","50","https://www.tripadvisor.com/Hotel_Review-g304555-d646146-Reviews-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html","http://fortchandragupt.com/"
"Niet Boeken!! Vies!! Vies!! Vies!!","1","2025-02","2025-02-07","Wat een vreselijk vies hotel!!
Hier 4 nachten geboekt maar na 1 nacht weggegaan helaas konden we niet gelijk weg aangezien er geen beschikbaarheid was in een ander hotel wel een andere kamer gekregen omdat de eerste Kamer nog smeriger was 🥴😱.
Het vocht loopt langs de binnenkant van de ramen
Laat je niet misleiden door de hun website foto's deze zijn denk ik 30 jaar geleden gemaakt!","https://www.tripadvisor.com/ShowUserReviews-g304555-d646146-r992559394-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html",,"1200","452390812","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg","1200","0","36","www.tripadvisor.com/Profile/W38MEdianav","Diana V","F95C54F17D6375D21A024A8E7944FC9F",,"188633","The Hague, The Netherlands","The Hague","W38MEdianav",,,,,,,,"Station Road Near Central Bus Stand, Jaipur 302001 India","Jaipur","India","302001","Rajasthan","Station Road","Near Central Bus Stand","646146","26.923403","Jaipur, Jaipur District, Rajasthan","75.80163","Fort Chandragupt","223","3.3","41","21","52","59","50","https://www.tripadvisor.com/Hotel_Review-g304555-d646146-Reviews-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html","http://fortchandragupt.com/"
"Horrible experience involving police.","1","2025-02","2025-02-07","This hotel is a complete scam. The staff wrongly accused us of breaking the TV three hours after we left and there was police involved who had to come an rescue us from the hotel in which we were cooped up. The hotel has police complaints against it and it is in a very unsafe place as well.","https://www.tripadvisor.com/ShowUserReviews-g304555-d646146-r992511734-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html",,"1200","452389949","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg","1200","0","1","www.tripadvisor.com/Profile/Explorer45693339969","Explorer45693339969","B214FB036D44E2D51B161A20B7C3DE68",,,,,"Explorer45693339969",,,,,,,,"Station Road Near Central Bus Stand, Jaipur 302001 India","Jaipur","India","302001","Rajasthan","Station Road","Near Central Bus Stand","646146","26.923403","Jaipur, Jaipur District, Rajasthan","75.80163","Fort Chandragupt","223","3.3","41","21","52","59","50","https://www.tripadvisor.com/Hotel_Review-g304555-d646146-Reviews-Fort_Chandragupt-Jaipur_Jaipur_District_Rajasthan.html","http://fortchandragupt.com/"
